iteration	 cost	 weight_diff
0	 22.325149676824875	 0.0007674390241397457
1	 22.31305574050701	 0.0011425266663063012
2	 22.31689290271237	 0.00022714173775408397
3	 22.317663442594252	 9.838227239954249e-05
4	 22.316065422416205	 0.000979684498332526
5	 22.30936371824898	 0.002644205776636166
6	 22.25972954957079	 0.0007388964939536464
7	 22.244333034362892	 0.0005044265893171129
8	 22.241968331088852	 1.6296693317614797e-06
9	 22.24199148497672	 0.000509449765454644
10	 22.245288253408084	 0.001144819923810797
11	 22.248976032728038	 0.000783575484970472
12	 22.235549523473974	 0.000959845968812074
13	 22.232982914554395	 0.0009656487126955656
14	 22.247028050369163	 0.0005609035405836825
15	 22.254142241859956	 0.0002880961465305878
16	 22.253587974148143	 9.621072910164504e-05
17	 22.252038284898788	 8.447524952447483e-05
18	 22.253229353956396	 0.0005154673383984587
19	 22.243971112721038	 0.0007669773922979935
20	 22.23861899358648	 0.0009586178231340174
21	 22.236066094521906	 0.002409685505822117
22	 22.255483620437722	 0.0007368468682633391
23	 22.240134638746902	 0.0004884465758164601
24	 22.24587092468404	 0.0006457409112303655
25	 22.241296441109704	 0.00024184154677967635
26	 22.24050051416288	 0.0009550363681361917
27	 22.2379551471681	 0.0026303642031731355
28	 22.189551657936136	 0.0005593064723036286
29	 22.178347480431544	 0.0007699962740390514
30	 22.16546813845776	 0.0002418767996774246
31	 22.1646482033613	 0.0006095735757634473
32	 22.164095768237317	 0.0004965553265962997
33	 22.161912558188355	 0.0026177524661528547
34	 22.114846066319867	 0.0007583307623935408
35	 22.10245304979753	 0.0005083991462395972
36	 22.10574436072927	 0.0004903888617906001
37	 22.097365337154056	 0.000986981580526019
38	 22.090467319208738	 0.0003196004061387983
39	 22.084513373341757	 0.0009277352335639694
40	 22.07864930223926	 0.00111128506116795
41	 22.075556144154202	 3.246921988873757e-05
42	 22.075990717815582	 8.547940686728772e-05
43	 22.074668339874144	 0.0011060104309454867
44	 22.07169316340801	 0.0002954873552411311
45	 22.071002045626603	 0.0009937777279993999
46	 22.084580738222254	 0.0008032629389645457
47	 22.079732369030015	 0.0005137164516614476
48	 22.07942500762937	 0.0009273530199619925
49	 22.07358683678611	 0.003165450078101623
50	 22.030423518509174	 0.0009833426382614527
51	 22.023651085130673	 0.0006272640516851142
52	 22.01945360009411	 0.0010183767457254216
53	 22.020813905616947	 0.0010637068018136799
54	 22.029849047530124	 0.0008553344048714375
55	 22.01790986155184	 0.0014462658204966443
56	 21.995889524044042	 0.0006232328747291014
57	 21.99175679145192	 0.0002921427183650022
58	 21.991102426763007	 0.0022623910753749457
59	 21.951216969387893	 0.0008756657263781231
60	 21.9430888810644	 0.0005333423337159044
61	 21.944804614949007	 0.0007033189910859441
62	 21.930956496364388	 0.0007416850139427899
63	 21.9193121849252	 8.088158399388353e-05
64	 21.918087540004716	 0.0001164642382081935
